pais;poblacion
Afganistán;27611000
Albania;2874000
Alemania;82605000
Andorra;79000
Angola;28276000
Antigua y Barbuda;91000
Arabia Saudí/Saudita;32620000
Argelia;41323000
Argentina;43823000
Armenia;2993000
Australia;24260000
Austria;8787000
Azerbaiyán;9829000
Bahamas;375000
Bangladés;162039000
Barbados;284000
Baréin;1981000
Bélgica;11359000
Belice;382000
Benín;11362000
Bielorrusia;9508000
Birmania/Myanmar;53247000
Bolivia;11066000
Bosnia y Herzegovina;3424000
Botsuana;2247000
Brasil;207012000
Brunéi;425000
Bulgaria;7110000
Burkina Faso;19344000
Burundi;10261000
Bután;781000
Cabo Verde;536000
Camboya;15402000
Camerún;23372000
Canadá;36477000
Catar;2651000
Chad;14415000
Chile;18286000
China;1380996000
Chipre;850000
Ciudad del Vaticano;800
Colombia;49067000
Comoras;817000
Corea del Norte;24284000
Corea del Sur;51670000
Costa de Marfil;24230000
Costa Rica;4949000
Croacia;4175000
Cuba;11240000
Dinamarca;5753000
Dominica;71000
Ecuador;16656000
Egipto;92216000
El Salvador;6551000
Emiratos Árabes Unidos;9082000
Eritrea;7472000
Eslovaquia;5433000
Eslovenia;2066000
España;46491000
United States of America;325318000
Estonia;1316000
Etiopía;93296000
Filipinas;103456000
Finlandia;5505000
Fiyi;883000
Francia;64765000
Gabón;1920000
Gambia;2124000
Georgia;3713000
Ghana;28635000
Granada;104000
Grecia;11548000
Guatemala;16896000
Guinea;11187000
Guinea Ecuatorial;1247000
Guinea-Bisáu;1575000
Guyana;746000
Haití;11284000
Honduras;8795000
Hungría;9805000
India;1331793000
Indonesia;260238000
Irak;38370000
Irán;80310000
Irlanda;4809000
Islandia;336000
Islas Marshall;55000
Islas Salomón;663000
Israel;8630000
Italy;60674000
Jamaica;2735000
Japón;126905000
Jordania;10131000
Kazajistán;17926000
Kenia;45958000
Kirguistán;6123000
Kiribati;117000
Kuwait;4406000
Laos;6666000
Lesoto;1913000
Letonia;1953000
Líbano;5708000
Liberia;4176000
Libia;6365000
Liechtenstein;38000
Lituania;2851000
Luxemburgo;590000
Macedonia;2073000
Madagascar;23990000
Malasia;31723000
Malaui;17098000
Maldivas;354000
Malí;18955000
Malta;437000
Marruecos;34310000
Mauricio;1266000
Mauritania;3763000
México;122916000
Micronesia;105000
Moldavia;3569000
Mónaco;39000
Mongolia;3131000
Montenegro;622000
Mozambique;26780000
Namibia;2350000
Nauru;11000
Nepal;28633000
Nicaragua;6361000
Níger;19989000
Nigeria;191182000
Noruega;5265000
Nueva Zelanda;4731000
Omán;4575000
Países Bajos;17095000
Pakistán;201576000
Palaos;18000
Panamá;3842000
Papúa Nueva Guinea;8246000
Paraguay;6905000
Perú;31660000
Polonia;38370000
Portugal;10265000
Reino Unido;65893000
República Centroafricana;5048000
República Checa;10573000
República del Congo;4920000
República Democrática del Congo;74185000
República Dominicana;10123000
Ruanda;11772000
Rumanía;19659000
Rusia;146823000
Samoa;196000
San Cristóbal y Nieves;46000
San Marino;33000
San Vicente y las Granadinas;110000
Santa Lucía;173000
Santo Tomé y Príncipe;201000
Senegal;15029000
Serbia;7056000
Seychelles;97000
Sierra Leona;7323000
Singapur;5644000
Siria;24136000
Somalia;13095000
Sri Lanka;21337000
Suazilandia;1139000
Sudáfrica;56084000
Sudán;40197000
Sudán del Sur;13657000
Suecia;9977000
Suiza;8402000
Surinam;570000
Tailandia;67526000
Tanzania;50869000
Tayikistán;8747000
Timor Oriental;1221000
Togo;7374000
Tonga;100000
Trinidad y Tobago;1357000
Túnez;11334000
Turkmenistán;4996000
Turquía;79806000
Tuvalu;10000
Ucrania;42594000
Uganda;37151000
Uruguay;3487000
Uzbekistán;32707000
Vanuatu;294000
Venezuela;31236000
Vietnam;93201000
Yemen;27943000
Yibuti;1006000
Zambia;16170000
Zimbabue;13741000
