Departamento;Localidad;casos
Capital;Córdoba;93
Colón;Saldán;55
Colón;Villa Allende;13
Colón;Mendiolaza;6
Colón;La Calera;3
Colón;Colonia Caroya;2
Colón;Cerro Azul;1
Colón;Salsipuedes;1
Colón;Río Ceballos;1
Gral.San Martin;Villa María;11
Gral.San Martin;Villa Nueva;7
Gral.San Martin;La Playosa;6
Río Cuarto;Río Cuarto;11
Río Cuarto;San Basilio;3
Río Cuarto;Vicuña Mackenna;2
Punilla;La Cumbre;7
Punilla;Cosquín;3
Punilla;Villa Carlos Paz;3
Punilla;Villa Giardino;1
Santa María;Alta Gracia;6
Santa María;Villa Parque Santa Ana;6
Santa María;Falda del Carmen;1
San Justo;Brinkmann;4
San Justo;Morteros;3
San Justo;Marull;2
San Justo;San Francisco;2
Unión;Bell Ville;2
Unión;Justiniano Posse;2
Unión;Morrison;2
Unión;San Marcos Sud;2
Marcos Juárez;Colonia Italiana;2
Marcos Juárez;Corral de Bustos;2
Gral.Roca;Huinca Renancó;2
Calamuchita;Villa Gral Belgrano;2
Cruz del Eje;San Marcos Sierra;2
Roque Sáenz Peña;Laboulaye;1
