fecha;casos;mujeres;varones;0 a 9;10 a 19;20 a 29;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 o mas
11/4/2020;2133;46,7;53,3;39;68;322;421;385;347;273;188;90
12/4/2020;2201;47;53;40;72;346;433;395;353;276;192;94
13/4/2020;2270;47,4;52,6;42;73;363;474;403;367;282;194;99
14/4/2020;2430;48,1;51,9;48;80;395;478;440;393;285;199;112
15/4/2020;2558;48,5;51,5;52;85;415;507;468;411;294;209;117
16/4/2020;2656;48,8;51,2;56;88;432;531;479;434;300;211;126
17/4/2020;2745;48,9;51,1;58;90;450;547;489;447;305;222;137
18/4/2020;2826;48,8;51,2;61;94;459;569;503;461;311;229;139
19/4/2020;2928;49,2;50,8;62;97;469;587;522;478;318;239;156
20/4/2020;3018;49;51;68;100;482;611;539;484;327;243;164
21/4/2020;3130;49,4;50,6;74;103;502;634;561;491;336;249;180
22/4/2020;3263;49,3;50,7;82;107;524;663;585;513;346;261;195
23/4/2020;3422;50;50;85;109;542;696;612;538;359;269;212
24/4/2020;3593;49,9;50,1;97;116;579;735;631;545;370;281;239
25/4/2020;3756;49,7;50,3;103;128;602;773;658;569;380;294;259
26/4/2020;3869;49,8;50,2;113;138;619;795;672;588;384;300;269
27/4/2020;3891;50;50;123;141;648;819;687;597;391;304;280
28/4/2020;4113;50,2;49,8;128;146;676;847;712;609;397;310;288
29/4/2020;4262;50,1;49,9;135;158;705;874;738;625;405;328;304
30/4/2020;4428;50,3;49,7;140;165;732;898;764;647;418;341;310
1/5/2020;4532;50,3;49,7;141;173;747;920;779;654;431;353;320
2/5/2020;4681;50;50;148;182;767;958;804;669;435;361;332
