Prov;Localidad;lat;long;casos;Fecha actualización;Fuente
Loncopué;Neuquen;-38,0728416;-70,6160889;33;18/4/2020;Clari Cardoz
Neuquén;Neuquen;-38,9516106;-68,0590973;29;19/4/2020;Clari Cardoz
Las Lajas;Neuquen;-38,5232201;-70,3674469;13;20/4/2020;Clari Cardoz
Cutral Co;Neuquen;-38,9377552;-69,2294588;6;21/4/2020;Clari Cardoz
Centenario;Neuquen;-38,8295517;68,1317978;5;22/4/2020;Clari Cardoz
San Martin de los Andes;Neuquen;-40,1572103;-71,3524436;5;16/4/2020;Clari Cardoz
Villa La Angostura;Neuquen;-40,7627426;-71,6417984;4;16/4/2020;Clari Cardoz
Plottier;Neuquen;-38,9475672;-68,22885;4;16/4/2020;Clari Cardoz
Zapala;Neuquen;-38,8991585;-70,0544205;4;16/4/2020;Clari Cardoz
Vista Alegre;Neuquen;-38,75;-68,1833267;1;16/4/2020;Clari Cardoz
