provincia;departamento
Buenos Aires;Almirante Brown
Buenos Aires;Berazategui
Buenos Aires;Berisso
Buenos Aires;Brandsen
Buenos Aires;Campana
Buenos Aires;Cañuelas
Ciudad Autónoma de Buenos Aires;TOTAL GENERAL
Buenos Aires;Ensenada
Buenos Aires;Escobar
Buenos Aires;Esteban Echeverría
Buenos Aires;Exaltación de la Cruz
Buenos Aires;Ezeiza
Buenos Aires;Florencio Varela
Buenos Aires;General las Heras
Buenos Aires;General Rodríguez
Buenos Aires;General San Martín
Buenos Aires;Hurlingham
Buenos Aires;Ituzaingó
Buenos Aires;José C. Paz
Buenos Aires;La Matanza
Buenos Aires;La Plata
Buenos Aires;Lanús
Buenos Aires;Lomas de Zamora
Buenos Aires;Luján
Buenos Aires;Malvinas Argentinas
Buenos Aires;Marcos Paz
Buenos Aires;Mercedes
Buenos Aires;Merlo
Buenos Aires;Moreno
Buenos Aires;Morón
Buenos Aires;Pilar
Buenos Aires;Presidente Perón
Buenos Aires;Quilmes
Buenos Aires;San Fernando
Buenos Aires;San Isidro
Buenos Aires;San Miguel
Buenos Aires;San Vicente
Buenos Aires;Tigre
Buenos Aires;Tres de Febrero
Buenos Aires;Vicente López
Buenos Aires;Zárate
