provincia;poblacion;superficie;mayores65
Buenos Aires;17.541.141;307571;1876197
Catamarca;415.438;102602;32722
Chaco;1.204.541;99633;83836
Chubut;618.994;224686;45899
Ciudad de Buenos Aires;3.075.646;200;504498
Córdoba;3.760.450;165321;419947
Corrientes;1.120.801;88199;88078
Entre Ríos;1.385.961;78781;142357
Formosa;605.193;72066;42307
Jujuy;770.881;53219;55711
La Pampa;358.428;143440;40223
La Rioja;393.531;89680;28200
Mendoza;1.990.338;148827;204167
Misiones;1.261.294;29801;79392
Neuquén;664.057;94078;43628
Río Negro;747.610;203013;63608
Salta;1.424.397;155488;99627
San Juan;781.217;89651;67909
San Luis;508.328;76748;44293
Santa Cruz;365.698;243943;19435
Santa Fe;3.536.418;133007;416595
Santiago del Estero;978.313;136351;75147
Tierra del Fuego;176.830;21571;6752
Tucumán;1.694.656;22524;136090
CABA;3.075.646;200;504498
