localidad;provincia;casos_acumulados;lat;long;fecha_act;Fuente
Bariloche;Rio Negro;72;-41,1334421;-71,3098425;18/4/2020;Clari Cardoz
Cipolletti;Rio Negro;15;-38,9278173;-67,9925103;19/4/2020;Clari Cardoz
Choele Choel;Rio Negro;36;-39,2946503;-65,6551733;20/4/2020;Clari Cardoz
Allen;Rio Negro;8;-39,0194815;-67,7791788;21/4/2020;Clari Cardoz
Dina Huapi;Rio Negro;6;-41,0760799;-71,1722506;22/4/2020;Clari Cardoz
Catriel;Rio Negro;3;-37,8794088;-67,7932024;16/4/2020;Clari Cardoz
Río Colorado;Rio Negro;2;-38,9936107;-64,0945316;16/4/2020;Clari Cardoz
Luis Beltrán;Rio Negro;7;-39,3107807;-65,7635561;16/4/2020;Clari Cardoz
El Bolsón;Rio Negro;2;-41,964979;-71,5344268;16/4/2020;Clari Cardoz
Villa Regina;Rio Negro;4;-39,1012244;-67,0881954;16/4/2020;Clari Cardoz
General Conesa;Rio Negro;1;-40,1063612;-64,4533012;16/4/2020;Clari Cardoz
General Roca;Rio Negro;11;-39,012981;-67,5956831;16/4/2020;Clari Cardoz
Viedma;Rio Negro;1;-40,8089231;-62,9944527;16/4/2020;Clari Cardoz
Cinco Saltos;Rio Negro;2;-38,8222504;-68,0629272;16/4/2020;Clari Cardoz
Lamarque;Rio Negro;11;-394.230.385;-65,7020798;16/4/2020;Clari Cardoz
Chimpay;Rio Negro;2;;;;
